Week,Date,Main Topic,Mini-lesson
1,18-Jan,No class - Optional SWC workshop at Middlebury,
2,25-Jan,Advanced Git and R markdown,
3,1-Feb,Probability theory,Pedagogy
4,8-Feb,Bayesian statistics (Emily Beasley),
5,15-Feb,No class,No class
<<<<<<< HEAD
6,22-Feb,Pop Gen activity (read [2010 Jablonski and Chaplin](https://github.com/erwhite1/QuantReasoning/blob/master/readings/2010 Jablonski and Chaplin - human skin pigmentation and UV radiation.pdf) in advance and [optional TED talk](https://www.ted.com/talks/nina_jablonski_breaks_the_illusion_of_skin_color?language=en)),
=======
6,22-Feb,Pop Gen activity,
>>>>>>> 1b3fcb07091345a0cc77acbd36a3e2b0b2649aaf
7,1-Mar,Tidyverse (Brendan),
8,8-Mar,No class,No class
,15-Mar,No class,No class
9,22-Mar,Network models and Spreading (Sam),
10,29-Mar,QUEST Research Derby,
11,5-Apr,No class - QuEST seminar speaker,
12,12-Apr,TBD,TBD
13,19-Apr,TBD,TBD
14,26-Apr,Prep day for presentations,
15,3-May,No class - QuEST celebration,